CPU_Load_Pct,Temperature_C,Fan_RPM,Voltage_V,Label,CPU_Load_Pct_mean,CPU_Load_Pct_std,CPU_Load_Pct_min,CPU_Load_Pct_max,CPU_Load_Pct_range,Temperature_C_mean,Temperature_C_std,Temperature_C_min,Temperature_C_max,Temperature_C_range,Fan_RPM_mean,Fan_RPM_std,Fan_RPM_min,Fan_RPM_max,Fan_RPM_range,Voltage_V_mean,Voltage_V_std,Voltage_V_min,Voltage_V_max,Voltage_V_range,Fan_Temp_Ratio
22.3,50,7308,0.731,1,22.3,0.0,22.3,22.3,0.0,50.0,0.0,50.0,50.0,0.0,7308.0,0.0,7308.0,7308.0,0.0,0.731,0.0,0.731,0.731,0.0,146.15999707680007
22.1,55,4801,0.876,0,22.200000000000003,0.14142135623731025,22.1,22.3,0.1999999999999993,52.5,3.5355339059327378,50.0,55.0,5.0,6054.5,1772.7167004346747,4801.0,7308.0,2507.0,0.8035,0.1025304832720494,0.731,0.876,0.14500000000000002,87.29090750380169
16.8,47,7295,0.727,1,20.400000000000002,3.119294792096446,16.8,22.3,5.5,50.666666666666664,4.04145188432738,47.0,55.0,8.0,6468.0,1443.6789809372442,4801.0,7308.0,2507.0,0.778,0.08489405161729532,0.727,0.876,0.14900000000000002,155.2127626550476
16.4,49,4789,0.842,0,19.4,3.238312317653546,16.4,22.3,5.900000000000002,50.25,3.4034296427770223,47.0,55.0,8.0,6048.25,1447.1464738120558,4789.0,7308.0,2519.0,0.794,0.0763457049654181,0.727,0.876,0.14900000000000002,97.73469188296548
27.5,54,4812,0.658,0,21.02,4.581157059084528,16.4,27.5,11.100000000000001,51.0,3.3911649915626336,47.0,55.0,8.0,5801.0,1369.7946926455804,4789.0,7308.0,2519.0,0.7668,0.08983707475201984,0.658,0.876,0.21799999999999997,89.11110946090538
17.9,54,5028,0.752,0,20.5,4.2909206471339,16.4,27.5,11.100000000000001,51.5,3.271085446759225,47.0,55.0,8.0,5672.166666666667,1265.1712005363806,4789.0,7308.0,2519.0,0.7643333333333334,0.08057956730255299,0.658,0.876,0.21799999999999997,93.11110938683132
20.4,57,4812,0.996,0,20.485714285714288,3.9172390665827264,16.4,27.5,11.100000000000001,52.285714285714285,3.638419332360584,47.0,57.0,10.0,5549.285714285715,1199.8249475493935,4789.0,7308.0,2519.0,0.7974285714285714,0.11435887539212855,0.658,0.996,0.33799999999999997,84.42105115050788
100.0,90,7322,0.864,2,30.425,28.34550858853757,16.4,100.0,83.6,57.0,13.752921767495703,47.0,90.0,43.0,5770.875,1275.4372289532716,4789.0,7322.0,2533.0,0.80575,0.10846032849453693,0.658,0.996,0.33799999999999997,81.35555465160495
100.0,70,7254,0.784,2,38.15555555555555,35.2262370652583,16.4,100.0,83.6,58.44444444444444,13.57489512953149,47.0,90.0,43.0,5935.666666666667,1291.4349577117696,4789.0,7322.0,2533.0,0.8033333333333333,0.10171405999172388,0.658,0.996,0.33799999999999997,103.62856994816329
8.9,51,4789,0.769,0,35.230000000000004,34.476080274751524,8.9,100.0,91.1,57.7,13.013241119891862,47.0,90.0,43.0,5821.0,1270.4239887183771,4789.0,7322.0,2533.0,0.7998999999999999,0.0965095850162045,0.658,0.996,0.33799999999999997,93.90195894309885
